"Group.1"	"countrycode"	"year"	"rgdpe"	"rgdpna"	"rconna"	"rkna"	"rtfpna"	"rwtfpna"	"labsh"	"delta"	"csh_c"	"csh_i"	"csh_g"	"csh_x"	"csh_m"
"11"	1960	NA	1960	84589.9648020346	88349.7179882785	70307.1228950565	222574.446121162	0.847363436565217	0.851017486275362	0.570278757264368	0.0372640417162162	0.737445687242991	0.191770399523364	0.163611339224299	0.165261662377009	-0.261109960921963
"12"	1961	NA	1961	84855.7711297611	91013.3161892491	72650.5781521312	232031.631196004	0.863924904550725	0.862841842811594	0.570326009602273	0.0366518635514019	0.728599111916667	0.187243054925926	0.17300145687963	0.161429503953519	-0.252634602325278
"13"	1962	NA	1962	89639.1334586287	95908.1806238352	76598.5113017009	242525.699351508	0.879271892985507	0.878049569289855	0.570391838193182	0.0367397848055556	0.716149285175926	0.178640061518519	0.172845676157407	0.151494638046296	-0.220405835382963
"14"	1963	NA	1963	94816.9611380824	100937.329083788	80430.0242654352	253836.437354344	0.898952626666667	0.900909929231884	0.570411971022727	0.0367742795648148	0.592028591388889	0.135335431907407	0.150000556898148	0.149106519164815	-0.0225405955938889
"15"	1964	NA	1964	100646.694725632	106644.600260851	84051.2981088716	264654.691133354	0.923697405101449	0.926621323507246	0.570332202386364	0.0367641322222222	0.72529456593578	0.190456454082569	0.171706241862385	0.161286885834862	-0.247408078788991
"16"	1965	NA	1965	106076.689684651	112351.049636499	87924.8295393936	278700.319311482	0.935440693188406	0.934958984014493	0.570200335909091	0.0369203141376147	0.699497506733945	0.183696717623853	0.170843148834862	0.158864893018349	-0.211794557550459
"17"	1966	NA	1966	112123.114464272	118409.400613784	92351.3442307046	293654.641882694	0.946570929405797	0.946295278637681	0.570177625193182	0.0371111430458716	0.69050346933945	0.186016386045872	0.174296127477064	0.158949682009174	-0.208060292963303
"18"	1967	NA	1967	115612.298033606	122988.57976424	96742.1365999358	308223.210636837	0.953191592231884	0.953127803956522	0.570228733465909	0.0374709563486239	0.686057807385321	0.180576705293578	0.179703723412844	0.152906482550459	-0.197936498623853
"19"	1968	NA	1968	121940.813136618	130347.559737716	101601.867460015	324187.907925301	0.961710526884058	0.967352728913043	0.570356374784091	0.0375981029357798	0.676470157477064	0.182883646073394	0.184335694449541	0.156810023027523	-0.200032264990826
"20"	1969	NA	1969	129782.278425204	138253.251271483	106861.187315358	341756.00201516	0.9860759352	0.996829872528571	0.570443413136364	0.037711599146789	0.673519124440367	0.185910330146789	0.186441561825688	0.153651735321101	-0.197041280990826
"21"	1970	NA	1970	107848.64986175	114564.314920109	87999.6117914378	285024.106547634	1.0566538815125	1.0331830307375	0.553535340130841	0.0377267822385321	0.631749920244755	0.189737122811189	0.190255221286713	0.179241898125874	-0.210258484741259
"22"	1971	NA	1971	113079.124927437	119761.63960969	92037.7259726573	300857.294305726	1.0725760345	1.0444582343125	0.554242406925234	0.0370593546083916	0.633052487174825	0.196801353909091	0.195076316622378	0.181959498475524	-0.225578368412587
"23"	1972	NA	1972	119612.726536172	126483.07564227	96820.0814738706	317910.904942233	1.0920326892625	1.046899034125	0.553114565626168	0.037497154972028	0.62757803493007	0.190844928265734	0.197672095083916	0.179288331181818	-0.217087035475524
"24"	1973	NA	1973	127990.025447497	134772.662306701	101734.737295766	336376.684192921	1.0980425071125	1.04646870125	0.551327887420561	0.0377351654125874	0.61745968813986	0.196142843216783	0.201320913916084	0.198355611874126	-0.236647957573427
"25"	1974	NA	1974	130563.329964008	138047.982896278	104246.274917369	353913.614797799	1.0878832038375	1.0757724035125	0.548648708747664	0.0379952745244755	0.631786109972028	0.211539606776224	0.205175484797203	0.238440217020979	-0.308668912783217
"26"	1975	NA	1975	132309.24255232	139960.013076518	108110.876950692	370862.473047553	1.060289417975	1.06278037915	0.549321146102804	0.038292614958042	0.633614151755245	0.212205039846154	0.216714663	0.219335023083916	-0.294362844
"27"	1976	NA	1976	139575.230760001	147394.840949214	112934.147977181	389077.681492068	1.072651432825	1.079284022025	0.549767821364486	0.0386086237622378	0.619423766706294	0.211086480244755	0.216951227622378	0.220759833496503	-0.280492178769231
"28"	1977	NA	1977	145078.08848674	153543.159271434	117590.017023801	408437.470357045	1.0622422777125	1.0909416616	0.550767328	0.0388752302727273	0.627321282181818	0.213355313412587	0.217064799321678	0.21683666127972	-0.286234236251748
"29"	1978	NA	1978	152553.632465222	160158.27988052	122640.988091243	428966.383020943	1.0615273795875	1.0891097117	0.550445458476636	0.0392166021678322	0.621881419741259	0.210354540685315	0.221683730083916	0.207872460594406	-0.273045994587413
"30"	1979	NA	1979	158981.512938641	166553.860294545	127190.147871887	449897.086829493	1.0685952756125	1.085476084775	0.548002355457944	0.0391701375734266	0.625926263937063	0.215187251699301	0.223606076776224	0.21839009686014	-0.290779235748252
"31"	1980	NA	1980	161303.637122253	169925.229207708	130047.400947305	470733.562524289	1.06418792371875	1.09875652479167	0.547268667635514	0.0392374875034965	0.642098370314685	0.223751320398601	0.226222229440559	0.232958650734266	-0.338043623076923
"32"	1981	NA	1981	163002.28271267	173220.319671744	133039.967502783	491182.117950218	1.04188985902083	1.09198942996875	0.547219374616822	0.0392659270979021	0.640382442293706	0.224417423972028	0.233029530944056	0.222784353090909	-0.334103030692308
"33"	1982	NA	1982	162530.452839391	174323.021744625	135791.55039721	509110.324654603	1.00929172242708	1.06026979757292	0.548531292074766	0.0398027062587413	0.637207107125874	0.217507046608392	0.236265789615385	0.206817544846154	-0.302024046006993
"34"	1983	NA	1983	166313.146581135	179604.416259664	140293.595831855	526789.462500763	0.98626737765625	1.02122229211458	0.548092849775701	0.0400918545734266	0.632019099671329	0.196990083538462	0.235360864993007	0.202163260167832	-0.279865939769231
"35"	1984	NA	1984	175230.959769576	188264.919994734	146759.970121008	545228.352154281	0.98165075325	1.00028161797917	0.547145890439252	0.0398134261818182	0.619045294762238	0.195546970895105	0.232957448118881	0.222392376195804	-0.279024475293706
"36"	1985	NA	1985	180809.684476679	195586.291152083	152524.903216819	564313.909031338	0.969699289010417	0.9803642180625	0.545208921915888	0.0398980563776224	0.624592243923077	0.194145309300699	0.23440889206993	0.216855547321678	-0.282521186160839
"37"	1986	NA	1986	188095.335165183	202313.940482343	158514.254898249	584108.554762871	0.972034785895833	0.978551267958333	0.543204809345794	0.039808969020979	0.622491549643357	0.189825529167832	0.23238582965035	0.197665407804196	-0.252286251524476
"38"	1987	NA	1987	196424.195982666	210121.564427889	163712.505462329	604982.065265181	0.971328203239583	0.972588573583333	0.542771818336449	0.0397561106433566	0.619016535195804	0.190084149685315	0.221437091559441	0.207619336006993	-0.248260043412587
"39"	1988	NA	1988	205596.786366713	220192.419499731	169807.186329361	627661.98776362	0.977603655291667	0.97821263596875	0.540328984672897	0.0396331272657343	0.619685699902098	0.192934322734266	0.219433170874126	0.201933216797203	-0.249515304496503
"40"	1989	NA	1989	211650.72928579	226867.188260281	173052.382479845	646735.707988767	0.981319531166667	0.980980002625	0.535957775523364	0.039800690020979	0.634714219534722	0.191081397486111	0.220411464819444	0.200590495402778	-0.261586375638889
"41"	1990	NA	1990	215356.744134902	221499.004364823	167005.44227298	635027.755082541	1.00079915063063	1.00376573228829	0.548241205748031	0.0399292619236111	0.627397807065868	0.186283980850299	0.228683618802395	0.213693383784431	-0.263265332047904
"42"	1991	NA	1991	220289.183057434	224266.888890164	169996.341870199	664275.243192144	0.965575505009009	0.977503663531532	0.547735396614173	0.0394575463053892	0.637638433502994	0.189436398359281	0.236942504329341	0.185949758724551	-0.245653035461078
"43"	1992	NA	1992	225978.318104675	228713.498602676	174691.901372136	686809.816554339	0.940555034990991	0.953711999468469	0.544812719204724	0.0396932661317365	0.631046013263473	0.194164130838323	0.228877047149701	0.229804006862275	-0.289428327275449
"44"	1993	NA	1993	230882.625498106	233428.622564723	179025.653711041	709023.9401691	0.927536390198198	0.928699641648649	0.546791076692913	0.0399119014550898	0.640298179107784	0.193402415736527	0.226001221814371	0.219546285922156	-0.28483978457485
"45"	1994	NA	1994	239632.216720672	241201.592331816	183857.157651478	734365.931758656	0.92014662645045	0.915987973531531	0.543218047401575	0.039996858748503	0.638917480155689	0.198380403550898	0.226451038023952	0.226839655811976	-0.295315877502994
"46"	1995	NA	1995	250879.136929182	249198.997251247	188748.705390439	759766.341063835	0.923343576540541	0.917739956	0.542667336826772	0.0399935120958084	0.636112969185629	0.198439893215569	0.221787293323353	0.230491911011976	-0.300562782886228
"47"	1996	NA	1996	260772.95391879	258876.753212858	195610.57393425	787330.497239202	0.927804856873874	0.919054013054054	0.544474402976378	0.0400098921676647	0.650573691185629	0.199471362736527	0.210280010185629	0.229070099065868	-0.306023055281437
"48"	1997	NA	1997	271521.452407721	269572.291880532	201923.187985318	816374.819345413	0.939415778666667	0.934340035	0.541001258637795	0.0402353494131737	0.641916922443114	0.196322270598802	0.212083539263473	0.240399061766467	-0.306087546155689
"49"	1998	NA	1998	277255.813925586	276575.335577383	208014.910528604	845425.230229396	0.940161449693694	0.934328842018018	0.544566529354331	0.040371895245509	0.709029669401198	0.208825488053892	0.225653868646707	0.249693361203593	-0.407221758658683
"50"	1999	NA	1999	287430.09553332	286810.479199557	216082.387993099	874920.021225416	0.939444634288288	0.921751855702703	0.538028054228346	0.0407731927904192	0.634371389874251	0.184736145784431	0.204256304928144	0.244611587916168	-0.286879008976048
"51"	2000	NA	2000	300762.453149231	300288.738297665	225110.508824788	906277.999666506	0.949249967279279	0.930049105243243	0.530072014181102	0.0409780501676647	0.623503931233533	0.179689319041916	0.197908132826347	0.274878988724551	-0.294954739502994
"52"	2001	NA	2001	306903.867580971	307896.537182953	232691.874253292	936945.453967449	0.949944275459459	0.934572384720721	0.532603811559055	0.0408926957305389	0.636134244071856	0.188722030526946	0.204830584035928	0.275467863718563	-0.329427372113772
"53"	2002	NA	2002	316221.135381629	317021.966692974	240184.61520378	967402.491821814	0.955482113990991	0.939735051225225	0.530996870708661	0.0409209398443114	0.63681875357485	0.184189507838323	0.206237102976048	0.281602831221557	-0.328413565137725
"54"	2003	NA	2003	325539.321714684	329029.225942022	247943.401651926	1000955.13441964	0.962133953162162	0.944492369864865	0.526746378787402	0.0404704975329341	0.629629292383234	0.191317349011976	0.204518445520958	0.281940435874251	-0.334036365550898
"55"	2004	NA	2004	343793.192296787	345753.478097879	258288.647350613	1038682.14852332	0.98668874863964	0.973058147189189	0.519230806086614	0.0402885272634731	0.622050037149701	0.201462954664671	0.201779270838323	0.301568071874251	-0.354740752838323
"56"	2005	NA	2005	361884.760885238	362111.348275443	269358.886865002	1080886.49262951	1	1	0.516761662220472	0.0400296915449102	0.627883971335329	0.208072829508982	0.202253211071856	0.307593711389222	-0.376817109598802
"57"	2006	NA	2006	383989.997034848	381819.916165184	281094.562453236	1127955.44399499	1.01871189183784	1.02497357881081	0.509922031818898	0.0398861345329341	0.628806770844311	0.215425971658683	0.199062764868263	0.331882215107784	-0.405891947341317
"58"	2007	NA	2007	407584.168065097	403372.274271727	295259.723474049	1180354.31353099	1.03309691433333	1.05571980951351	0.507408440456693	0.0398484576526946	0.652788837263473	0.225878964083832	0.202123451658683	0.343454699173653	-0.464160487616766
"59"	2008	NA	2008	415629.98966376	414727.561904894	303577.713960958	1234000.37146716	1.02976689846847	1.06115080645045	0.508390777685039	0.0399703243293413	0.682640477952096	0.233304002586826	0.213363908245509	0.390075332083832	-0.551177501784431
"60"	2009	NA	2009	408198.970465663	411950.422765118	307467.687363204	1278102.64913955	0.996030015625	1.01033270255357	0.51844184321875	0.0406821463809524	0.632939122595238	0.201585980440476	0.209961641928571	0.274161983755952	-0.346538945035714
"61"	2010	NA	2010	431041.591452626	434062.375419299	318767.360849064	1334221.91285781	1.013106981	1.03435770952679	0.514267609539062	0.0405626592083333	0.62882907685119	0.201524562934524	0.208935519535714	0.293124611333333	-0.376633821869048
"62"	2011	NA	2011	447394.804035361	451915.974906195	329960.224895971	1394083.75418565	1.02786963698214	1.06155512161607	0.5142797139375	0.0404442804047619	0.643564094101191	0.205469351869048	0.205156376172619	0.323021971434524	-0.426753395922619
