"Group.1"	"year"	"rgdpe"	"rgdpo"	"rkna"	"wagee"	"wageo"	"rconna"	"profite"	"profito"	"teste"	"testo"	"psharee"	"pshareo"	"kprode"	"kprodo"	"exploite"	"exploito"	"pratee"	"prateo"	"wsharee"	"wshareo"
"1"	1950	325650	5014667.338644	4908736.6928881	14291084.657647	3151807.9627674	3083999.03712616	4486185.593798	1862859.3758766	1824737.65576194	5014667.338644	4908736.6928881	0.37148214429321	0.371732641191707	0.350894803212904	0.343482444508611	0.591044694944213	0.591679061437816	0.130351153918874	0.12768363630017	0.62851785570679	0.628267358808293
"2"	1951	325817	5385328.641755	5295959.1348797	15282307.901324	3378992.1143812	3322349.54878794	4822850.4336358	2006336.5273738	1973609.58609176	5385328.641755	5295959.1348797	0.372556005555116	0.372663295887874	0.352389748755712	0.346541842310406	0.593767744776528	0.594040319090379	0.131284917194999	0.129143425118452	0.627443994444884	0.627336704112126
"3"	1952	325984	5993971.549471	5885006.0729375	16271774.761767	3754201.45792199	3683341.05631953	5237193.6539114	2239770.09154901	2201665.01661797	5993971.549471	5885006.0729375	0.373670457569435	0.374114315147854	0.3683661823758	0.361669587927508	0.596603596437989	0.597735855288384	0.137647559921471	0.135305770197306	0.626329542430565	0.625885684852146
"4"	1953	326151	6352073.718145	6220888.8663312	16923366.397087	3980912.78493452	3895176.95026217	5536753.2000496	2371160.93321048	2325711.91606903	6352073.718145	6220888.8663312	0.373289265588519	0.373855242561282	0.375343390262967	0.367591690705343	0.595632474588233	0.597074778826798	0.140111658494768	0.137426080692158	0.626710734411481	0.626144757438718
"5"	1954	326318	6569642.1817812	6431536.7887198	17603587.423587	4099817.47973712	4010892.4002507	5698348.7540832	2469824.70204408	2420644.3884691	6569642.1817812	6431536.7887198	0.37594508706933	0.376371070863599	0.373199054471054	0.365353756252104	0.602423086942505	0.603517658144557	0.140302351027312	0.137508584484643	0.62405491293067	0.623628929136401
"6"	1955	326485	7086034.8621961	6937597.9261938	18613753.367919	4380248.09136429	4285063.00011274	6063284.3617029	2705786.77083181	2652534.92608106	7086034.8621961	6937597.9261938	0.381847792658649	0.382341979789009	0.380688124642768	0.372713540846137	0.617724547649779	0.619018886306054	0.145364920086202	0.142504033101284	0.618152207341351	0.617658020210991
"7"	1956	326652	7372013.9223512	7217993.9370327	19422200.881667	4598686.73455963	4498572.86706738	6296512.1451471	2773327.18779157	2719421.06996532	7372013.9223512	7217993.9370327	0.376196683430442	0.376755798590108	0.379566351273289	0.371636251782665	0.603069386516309	0.604507507230422	0.142791602490805	0.140016112825413	0.623803316569558	0.623244201409892
"8"	1957	326819	7666510.4704565	7518089.7784489	20264650.98155	4767141.7155027	4668974.63992818	6544645.3523712	2899368.7549538	2849115.13852072	7666510.4704565	7518089.7784489	0.378186238201427	0.378967958947218	0.378319393580304	0.370995275728842	0.608198565929995	0.610222877236393	0.14307518829678	0.14059532242202	0.621813761798573	0.621032041052782
"9"	1958	326986	7917987.227227	7743974.3067636	21081414.704143	4915621.32420048	4798745.86450025	6735788.3896585	3002365.90302652	2945228.44226335	7917987.227227	7743974.3067636	0.379182968709839	0.380325182599196	0.37559088601729	0.36733655760027	0.610780551432093	0.613749618218231	0.142417667180395	0.139707343344683	0.620817031290161	0.619674817400804
"10"	1959	327153	8474707.793336	8280532.5204836	22137896.437743	5199318.5275378	5070126.77492459	7056639.5549855	3275389.2657982	3210405.74555901	8474707.793336	8280532.5204836	0.386489935189714	0.387705227606729	0.382814501692556	0.374043330800215	0.629965109552405	0.633200290264294	0.147953951948839	0.145018554702676	0.613510064810285	0.612294772393271
