Group.1	countrycode	year	rgdpe	rgdpna	rconna	rkna	rtfpna	rwtfpna	labsh	delta	csh_c	csh_i	csh_g	csh_x	csh_m		wageb
29	1978	NA	1978	152553.6325	160158.2799	122640.9881	428966.383	1.06152738	1.089109712	0.550445458	0.039216602	0.62188142	0.210354541	0.22168373	0.207872461	-0.273045995	122616.8398
30	1979	NA	1979	158981.5129	166553.8603	127190.1479	449897.0868	1.068595276	1.085476085	0.548002355	0.039170138	0.625926264	0.215187252	0.223606077	0.218390097	-0.290779236	127029.3425
31	1980	NA	1980	161303.6371	169925.2292	130047.4009	470733.5625	1.064187924	1.098756525	0.547268668	0.039237488	0.64209837	0.22375132	0.226222229	0.232958651	-0.338043623	128765.0057
32	1981	NA	1981	163002.2827	173220.3197	133039.9675	491182.118	1.041889859	1.09198943	0.547219375	0.039265927	0.640382442	0.224417424	0.233029531	0.222784353	-0.334103031	129146.0722
33	1982	NA	1982	162530.4528	174323.0217	135791.5504	509110.3247	1.009291722	1.060269798	0.548531292	0.039802706	0.637207107	0.217507047	0.23626579	0.206817545	-0.302024046	128730.4753
34	1983	NA	1983	166313.1466	179604.4163	140293.5958	526789.4625	0.986267378	1.021222292	0.54809285	0.040091855	0.6320191	0.196990084	0.235360865	0.20216326	-0.27986594	130782.5307
35	1984	NA	1984	175230.9598	188264.92	146759.9701	545228.3522	0.981650753	1.000281618	0.54714589	0.039813426	0.619045295	0.195546971	0.232957448	0.222392376	-0.279024475	136759.815
36	1985	NA	1985	180809.6845	195586.2912	152524.9032	564313.909	0.969699289	0.980364218	0.545208922	0.039898056	0.624592244	0.194145309	0.234408892	0.216855547	-0.282521186	140485.7418
37	1986	NA	1986	188095.3352	202313.9405	158514.2549	584108.5548	0.972034786	0.978551268	0.543204809	0.039808969	0.62249155	0.189825529	0.23238583	0.197665408	-0.252286252	146249.335
38	1987	NA	1987	196424.196	210121.5644	163712.5055	604982.0653	0.971328203	0.972588574	0.542771818	0.039756111	0.619016535	0.19008415	0.221437092	0.207619336	-0.248260043	152728.6514
39	1988	NA	1988	205596.7864	220192.4195	169807.1863	627661.9878	0.977603655	0.978212636	0.540328985	0.039633127	0.6196857	0.192934323	0.219433171	0.201933217	-0.249515304	159870.2667
40	1989	NA	1989	211650.7293	226867.1883	173052.3825	646735.708	0.981319531	0.980980003	0.535957776	0.03980069	0.63471422	0.191081397	0.220411465	0.200590495	-0.261586376	164348.8102
41	1990	NA	1990	215356.7441	221499.0044	167005.4423	635027.7551	1.000799151	1.003765732	0.548241206	0.039929262	0.627397807	0.186283981	0.228683619	0.213693384	-0.263265332	160306.7492
42	1991	NA	1991	220289.1831	224266.8889	169996.3419	664275.2432	0.965575505	0.977503664	0.547735397	0.039457546	0.637638434	0.189436398	0.236942504	0.185949759	-0.245653035	164254.916
43	1992	NA	1992	225978.3181	228713.4986	174691.9014	686809.8166	0.940555035	0.953711999	0.544812719	0.039693266	0.631046013	0.194164131	0.228877047	0.229804007	-0.289428327	168706.1088
44	1993	NA	1993	230882.6255	233428.6226	179025.6537	709023.9402	0.92753639	0.928699642	0.546791077	0.039911901	0.640298179	0.193402416	0.226001222	0.219546286	-0.284839785	173438.5427
45	1994	NA	1994	239632.2167	241201.5923	183857.1577	734365.9318	0.920146626	0.915987974	0.543218047	0.039996859	0.63891748	0.198380404	0.226451038	0.226839656	-0.295315878	179722.9893
46	1995	NA	1995	250879.1369	249198.9973	188748.7054	759766.3411	0.923343577	0.917739956	0.542667337	0.039993512	0.636112969	0.198439893	0.221787293	0.230491911	-0.300562783	186375.2846
47	1996	NA	1996	260772.9539	258876.7532	195610.5739	787330.4972	0.927804857	0.919054013	0.544474403	0.040009892	0.650573691	0.199471363	0.21028001	0.229070099	-0.306023055	193214.7154
48	1997	NA	1997	271521.4524	269572.2919	201923.188	816374.8193	0.939415779	0.934340035	0.541001259	0.040235349	0.641916922	0.196322271	0.212083539	0.240399062	-0.306087546	200345.4693
49	1998	NA	1998	277255.8139	276575.3356	208014.9105	845425.2302	0.94016145	0.934328842	0.544566529	0.040371895	0.709029669	0.208825488	0.225653869	0.249693361	-0.407221759	205824.3294
50	1999	NA	1999	287430.0955	286810.4792	216082.388	874920.0212	0.939444634	0.921751856	0.538028054	0.040773193	0.63437139	0.184736146	0.204256305	0.244611588	-0.286879009	212384.0502
51	2000	NA	2000	300762.4531	300288.7383	225110.5088	906277.9997	0.949249967	0.930049105	0.530072014	0.04097805	0.623503931	0.179689319	0.197908133	0.274878989	-0.29495474	221262.9813
52	2001	NA	2001	306903.8676	307896.5372	232691.8743	936945.454	0.949944275	0.934572385	0.532603812	0.040892696	0.636134244	0.188722031	0.204830584	0.275467864	-0.329427372	225996.2565
53	2002	NA	2002	316221.1354	317021.9667	240184.6152	967402.4918	0.955482114	0.939735051	0.530996871	0.04092094	0.636818754	0.184189508	0.206237103	0.281602831	-0.328413565	229713.1392
54	2003	NA	2003	325539.3217	329029.2259	247943.4017	1000955.134	0.962133953	0.94449237	0.526746379	0.040470498	0.629629292	0.191317349	0.204518446	0.281940436	-0.334036366	233873.2374
55	2004	NA	2004	343793.1923	345753.4781	258288.6474	1038682.149	0.986688749	0.973058147	0.519230806	0.040288527	0.622050037	0.201462955	0.201779271	0.301568072	-0.354740753	241820.0839
56	2005	NA	2005	361884.7609	362111.3483	269358.8869	1080886.493	1	1	0.516761662	0.040029692	0.627883971	0.20807283	0.202253211	0.307593711	-0.37681711	250247.9702
57	2006	NA	2006	383989.997	381819.9162	281094.5625	1127955.444	1.018711892	1.024973579	0.509922032	0.039886135	0.628806771	0.215425972	0.199062765	0.331882215	-0.405891947	262561.7167
58	2007	NA	2007	407584.1681	403372.2743	295259.7235	1180354.314	1.033096914	1.05571981	0.50740844	0.039848458	0.652788837	0.225878964	0.202123452	0.343454699	-0.464160488	275479.7977
59	2008	NA	2008	415629.9897	414727.5619	303577.714	1234000.371	1.029766898	1.061150806	0.508390778	0.039970324	0.682640478	0.233304003	0.213363908	0.390075332	-0.551177502	281409.891
60	2009	NA	2009	408198.9705	411950.4228	307467.6874	1278102.649	0.996030016	1.010332703	0.518441843	0.040682146	0.632939123	0.20158598	0.209961642	0.274161984	-0.346538945	275549.0327
61	2010	NA	2010	431041.5915	434062.3754	318767.3608	1334221.913	1.013106981	1.03435771	0.51426761	0.040562659	0.628829077	0.201524563	0.20893552	0.293124611	-0.376633822	287937.3032
62	2011	NA	2011	447394.804	451915.9749	329960.2249	1394083.754	1.027869637	1.061555122	0.514279714	0.04044428	0.643564094	0.205469352	0.205156376	0.323021971	-0.426753396	297692.9046
